Date,Volume
8/12/2009,2177
8/13/2009,2043
8/14/2009,1867
8/15/2009,1555
8/16/2009,1158
8/17/2009,988
8/18/2009,1752
8/19/2009,1765
8/20/2009,1746
8/21/2009,1791
8/22/2009,1460
8/23/2009,1223
8/24/2009,1053
8/25/2009,1719
8/26/2009,1847
8/27/2009,1760
8/28/2009,1654
8/29/2009,1595
8/30/2009,1154
8/31/2009,1089
9/1/2009,1312
9/2/2009,1796
9/3/2009,1716
9/4/2009,1688
9/5/2009,1592
9/6/2009,1250
9/7/2009,1160
9/8/2009,1878
9/9/2009,1727
9/10/2009,1784
9/11/2009,1680
9/12/2009,1584
9/13/2009,1214
9/14/2009,1135
9/15/2009,1821
9/16/2009,1658
9/17/2009,1678
9/18/2009,1565
9/19/2009,1421
9/20/2009,1038
9/21/2009,1039
9/22/2009,1786
9/23/2009,1736
9/24/2009,1533
9/25/2009,1568
9/26/2009,1397
9/27/2009,1070
9/28/2009,971
9/29/2009,1596
9/30/2009,1910
10/1/2009,1991
10/2/2009,1935
10/3/2009,1838
10/4/2009,1275
10/5/2009,1165
10/6/2009,1975
10/7/2009,1774
10/8/2009,1773
10/9/2009,1617
10/10/2009,1540
10/11/2009,1130
10/12/2009,1051
10/13/2009,1661
10/14/2009,1745
10/15/2009,1826
10/16/2009,1749
10/17/2009,1548
10/18/2009,1222
10/19/2009,1208
10/20/2009,1992
10/21/2009,2117
10/22/2009,1803
10/23/2009,1457
10/24/2009,1581
10/25/2009,1079
10/26/2009,1087
10/27/2009,1850
10/28/2009,1780
10/29/2009,1697
10/30/2009,1325
10/31/2009,1560
11/1/2009,1259
11/2/2009,1180
11/3/2009,1853
11/4/2009,1750
11/5/2009,1861
11/6/2009,1778
11/7/2009,1450
11/8/2009,1348
11/9/2009,1198
11/10/2009,1747
11/11/2009,1888
11/12/2009,1788
11/13/2009,1675
11/14/2009,1623
11/15/2009,1404
11/16/2009,1147
11/17/2009,1888
11/18/2009,1715
11/19/2009,1767
11/20/2009,1671
11/21/2009,1574
11/22/2009,1266
11/23/2009,1105
11/24/2009,1661
11/25/2009,1510
11/26/2009,1282
11/27/2009,753
11/28/2009,1213
11/29/2009,1196
11/30/2009,1114
12/1/2009,1711
12/2/2009,1731
12/3/2009,1900
12/4/2009,1802
12/5/2009,1493
12/6/2009,1192
12/7/2009,1118
12/8/2009,1632
12/9/2009,1679
12/10/2009,1704
12/11/2009,1743
12/12/2009,1430
12/13/2009,1182
12/14/2009,1200
12/15/2009,1640
12/16/2009,1700
12/17/2009,1541
12/18/2009,1606
12/19/2009,1346
12/20/2009,1183
12/21/2009,1010
12/22/2009,1434
12/23/2009,951
12/24/2009,842
12/25/2009,1678
12/26/2009,1729
12/27/2009,1398
12/28/2009,1254
12/29/2009,1927
12/30/2009,1517
12/31/2009,1478
1/1/2010,2300
1/2/2010,2002
1/3/2010,1674
1/4/2010,1439
1/5/2010,2258
1/6/2010,2033
1/7/2010,2065
1/8/2010,2038
1/9/2010,1967
1/10/2010,1516
1/11/2010,1558
1/12/2010,2234
1/13/2010,1937
1/14/2010,2014
1/15/2010,1750
1/16/2010,1601
1/17/2010,1392
1/18/2010,1192
1/19/2010,1268
1/20/2010,1834
1/21/2010,1693
1/22/2010,1657
1/23/2010,1592
1/24/2010,1204
1/25/2010,1087
1/26/2010,1711
1/27/2010,1449
1/28/2010,1642
1/29/2010,1553
1/30/2010,1498
1/31/2010,1235
2/1/2010,945
2/2/2010,1742
2/3/2010,1822
2/4/2010,1763
2/5/2010,1801
2/6/2010,1773
2/7/2010,1298
2/8/2010,1172
2/9/2010,1880
2/10/2010,1806
2/11/2010,1805
2/12/2010,1633
2/13/2010,1431
2/14/2010,1232
2/15/2010,1137
2/16/2010,1685
2/17/2010,1655
2/18/2010,1866
2/19/2010,1717
2/20/2010,1523
2/21/2010,1264
2/22/2010,1176
2/23/2010,1752
2/24/2010,1681
2/25/2010,1877
2/26/2010,1766
2/27/2010,1498
2/28/2010,1252
3/1/2010,1100
3/2/2010,1812
3/3/2010,1750
3/4/2010,1748
3/5/2010,1
